nohup: ignoring input
---------------------------------Starting---------------------------------
Saving unlabeled images
{'dataset': 'rescuenet', 'ignore_label': 255, 'model': 'DeepLab', 'pretrained': 'coco', 'seed': 1, 'training': {'batch_size': 2, 'data': {'crop': True, 'input_size': '750,750', 'labeled_samples': 900, 'scale': True, 'split_id_list': 1000}, 'learning_rate': 0.00025, 'lr_schedule': 'Poly', 'lr_schedule_power': 0.9, 'momentum': 0.9, 'num_iterations': 40000, 'num_workers': 4, 'optimizer': 'SGD', 'unlabeled': {'blur': False, 'color_jitter': False, 'consistency_loss': 'CE', 'consistency_weight': 1, 'flip': False, 'pixel_weight': 'threshold_uniform', 'mix_mask': 'class', 'train_unlabeled': True}, 'use_sync_batchnorm': True, 'weight_decay': 0.0005}, 'utils': {'checkpoint_dir': '../../../data/jpk322/ClassMix/RescueNet/', 'log_per_iter': 200, 'save_best_model': True, 'save_checkpoint_every': 1000, 'tensorboard': True, 'val_per_iter': 5000}}
dataset size:  3595
Training with labeled samples: 900
/home/jpk322/.conda/envs/classMix/lib/python3.10/site-packages/torch/optim/sgd.py:27: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  super().__init__(params, defaults)
iter =      0/ 40000, loss_l = 3.930, loss_u = 0.028
iter =      1/ 40000, loss_l = 9.444, loss_u = 0.048
iter =      2/ 40000, loss_l = 3.973, loss_u = 0.211
iter =      3/ 40000, loss_l = 4.408, loss_u = 0.627
iter =      4/ 40000, loss_l = 9.066, loss_u = 0.455
iter =      5/ 40000, loss_l = 4.885, loss_u = 0.511
iter =      6/ 40000, loss_l = 6.750, loss_u = 0.022
iter =      7/ 40000, loss_l = 15.776, loss_u = 0.234
iter =      8/ 40000, loss_l = 19.972, loss_u = 0.475
iter =      9/ 40000, loss_l = 5.326, loss_u = 1.847
iter =     10/ 40000, loss_l = 12.002, loss_u = 3.761
iter =     11/ 40000, loss_l = 7.610, loss_u = 0.817
iter =     12/ 40000, loss_l = 2.554, loss_u = 1.039
iter =     13/ 40000, loss_l = 1.886, loss_u = 0.858
iter =     14/ 40000, loss_l = 1.977, loss_u = 0.784
iter =     15/ 40000, loss_l = 2.307, loss_u = 0.949
iter =     16/ 40000, loss_l = 4.866, loss_u = 1.104
iter =     17/ 40000, loss_l = 2.365, loss_u = 0.696
iter =     18/ 40000, loss_l = 1.201, loss_u = 0.584
iter =     19/ 40000, loss_l = 4.145, loss_u = 0.280
